overall,vote,verified,reviewText,summary,unixReviewTime,Topic1,Topic2,Topic3,Topic4,Topic5,imagenum,nameverified,Sentiment,Length,Sentences,Flesch,Days,verified_option,Retail,vote_fillna
5.0,,1,"Absolutely love this keyboard.  I had an older one and the letters were worn off.  Didn't bother me, but my wife was very pleased when she saw that it had the letters still on the keys.  This keyboard feels great and is just designed so well.",Love this keyboard. Well worth the money.,2018-05-02,0.4724099934101105,0.03711000084877014,0.4151900112628937,0.045910000801086426,0.029370000585913658,0,0.0,0.9532,46,1,50.17,4592,1,0,0.0
5.0,,1,"I hate to say I love it because I got it for work, but...it works very well and makes being in front of a computer working all day better because it works so well. Once I got the programing figured out I realized how much more this can do than my other keyboards and it made it even better.","Every comfortable, especially if you're a bigger person. Ergonomics are great and personalized programing features are a great!",2018-05-02,0.4791100025177002,0.037300001829862595,0.4079200029373169,0.046140000224113464,0.029519999399781227,0,0.0,0.8775,59,2,66.91,4592,1,0,0.0
5.0,,1,Good,Five Stars,2018-04-29,0.4788399934768677,0.038040000945329666,0.4059700071811676,0.04704999923706055,0.03009999915957451,0,0.0,0.4404,1,1,121.22,4589,1,1,0.0
5.0,,1,PERFECT Ergonomic Keyboard hella expensive but worth it! This is my 3rd one...first 2 shorted out after I spilled beverage on them. MICROSOFT PLEASE MAKE THESE WATER-PROOF. I suggest buying the SUCKY keyboard cover (see my review on it),PERFECT Ergonomic Keyboard hella expensive but worth it,2018-04-29,0.4907299876213074,0.03706999868154526,0.3970000147819519,0.04585999995470047,0.029340000823140144,0,0.0,0.5932,39,4,69.99,4589,1,0,0.0
4.0,,1,I am hoping this will put less strain on my wrists. It is very comfortable so far. However this is quite high and if you have a desk with a keyboard drawer you are going to want to check the clearance because this may not fit under your desk.,"Comfortable, but takes a bit of getting used to.",2018-04-28,0.5003399848937988,0.037289999425411224,0.38672998547554016,0.04613000154495239,0.029510000720620155,0,0.0,0.6884,49,3,88.77,4588,1,0,0.0
5.0,,1,I've bought three of these now. Two different jobs and one for my personal use.,Comfortable keyboard.,2018-04-27,0.48958998918533325,0.03773999959230423,0.39610999822616577,0.04668999835848808,0.02986999973654747,0,0.0,0.0,15,2,89.24,4587,1,0,0.0
5.0,,1,Work as expected.,Work as expected.,2018-04-26,0.4786899983882904,0.03793000057339668,0.39555999636650085,0.04692000150680542,0.04089999943971634,0,0.0,0.0,3,1,59.97,4586,1,0,0.0
5.0,,1,5 STARS TO THE SELLER AND 5 STARS FOR THE KEYBOARD.  LOVE IT!,LOVE IT!,2018-04-24,0.4807099997997284,0.03793000057339668,0.4044100046157837,0.04692000150680542,0.03002000041306019,0,0.0,0.6696,13,1,92.12,4584,1,0,0.0
5.0,,1,Delivered as promised. Great product!,Great product!,2018-04-23,0.49195000529289246,0.037870001047849655,0.39337998628616333,0.04684000089764595,0.029969999566674232,0,0.0,0.784,5,1,66.4,4583,1,0,0.0
5.0,,1,great product I bought these as a present and they love it..  Thank you..,Five Stars,2018-04-22,0.48427000641822815,0.03756000101566315,0.3940500020980835,0.0544000007212162,0.029729999601840973,0,0.0,0.8957,14,1,99.57,4582,1,0,0.0
5.0,,1,"Classic keyboard that takes some getting used to if you're not a traditionally ""perfect"" typer, but it helps you not develop ya know, arthritis or carpal tunnel.",Great keyboard for people who type all day...,2018-04-21,0.48405998945236206,0.048969998955726624,0.3915799856185913,0.045979999005794525,0.029419999569654465,0,0.0,0.5267,27,1,60.99,4581,1,0,0.0
5.0,,1,"This keyboard is totally worth the price, it took me a few days to get use to the key arrangement, no big adjustment. I did take the time to set up my most important apps. to open with a push of one key. There are many handy features that I haven't had time to learn, but it will be handy to have.",Very nice and very good price.,2018-04-19,0.4833100140094757,0.036990001797676086,0.38982000946998596,0.04845999926328659,0.04142000153660774,0,0.0,0.1388,62,3,84.3,4579,1,0,0.0
2.0,,1,"No idea why, but this spacebar keeps sticking. Had to swap this out twice before I gave up and returned it.",Sticky spacebar.,2018-04-18,0.48162001371383667,0.03736000135540962,0.394459992647171,0.046220000833272934,0.04033999890089035,0,0.0,-0.1531,21,2,94.66,4578,1,0,0.0
4.0,,1,"Comfortable keyboard to use, and a nice layout.  I have a few small nitpicks :
1.  The space bar does not depress easily at first, but seems to have started to 'break in'.  At first I was often missing spaces when typing because the space bar basically felt stuck.
2.  There's only one Window key, on the left.  My previous keyboard had one on the right that I was used to using.  This is likely a common thing in modern keyboards.
3.  I wish the little zoom toggle could be reassigned to scroll.

But overall happy with the purchase.","Comfortable, with a few annoyances",2018-04-18,0.4957900047302246,0.03635000064969063,0.3941200077533722,0.04496999830007553,0.028769999742507935,0,0.0,0.8246,98,1,-11.08,4578,1,0,0.0
5.0,,1,"Great item, prompt and great price. A++++++",Five Stars,2018-04-18,0.48594000935554504,0.03773000091314316,0.39195001125335693,0.05451999977231026,0.02985999919474125,0,1.0,0.8481,7,1,115.13,4578,1,0,0.0
5.0,,1,I have been using this keyboard for years... mine finally to go and just replaced it with the same one because I love it so much. :-),My favorite keyboard,2018-04-17,0.48684999346733093,0.03765000030398369,0.3991200029850006,0.0465800017118454,0.02979999966919422,0,0.0,0.7769,26,1,70.47,4577,1,0,0.0
5.0,,1,"Perfect, Thanks!",Five Stars,2018-04-16,0.4766499996185303,0.037870001047849655,0.39958998560905457,0.05592000111937523,0.029969999566674232,0,0.0,0.784,2,1,77.91,4576,1,0,0.0
2.0,,1,"Very overrated keyboard IMO. Keys are too mushy and I type much slower on this thing than anything else I've tried. I have small hands, so i was also getting repeat tendonitis and RSI from using this. You need pretty big hands and long fingers to really be able to get much out of using this to be perfectly honest. Other people I knew swear by this, but for the life of me, I just couldn't get used to using this in  the long term. Finally settled on a Logitech K740 instead.",Overrated and super mushy keys,2018-04-14,0.48333001136779785,0.03655000030994415,0.4059799909591675,0.04521000012755394,0.028929999098181725,0,1.0,0.6956,92,6,81.33,4574,1,0,0.0
4.0,,1,"I have mixed feelings about this keyboard.  The action is smooth and quiet, and my wrists have been better off.  However, it is kind of awkward that the '6' got put with the '5', instead of the '7'.

The positives include having the programmable buttons, volume control, and scrolling and zooming buttons.

I wouldn't rate the keyboard 5 stars, but I would replace it with the same model, or the next.",Some of the keys awkward to use for a touch-typer,2018-04-13,0.4712199866771698,0.03652000054717064,0.41819998621940613,0.045170001685619354,0.02889999933540821,0,0.0,0.4026,71,1,16.33,4573,1,0,0.0
5.0,,1,"I personally love this keyboard. It is extremely well made and has quiet and very nice and responsive keys. The rest is soft and comfortable. It does take a bit of getting used to but when you get it, it's a fantastic keyboard.",Quiet and responsive keys,2018-04-13,0.497189998626709,0.0370899997651577,0.3852599859237671,0.04588000103831291,0.03457999974489212,0,0.0,0.9228,43,4,85.89,4573,1,0,0.0
5.0,,1,Perfect for someone that needs an ergonomic keyboard.  Have to get used to it.,Great ergonomic keyboard.,2018-04-06,0.4759100079536438,0.0377499982714653,0.40977999567985535,0.04668999835848808,0.02986999973654747,0,0.0,0.5719,14,1,74.19,4566,1,0,0.0
5.0,,1,I love this keyboard! Helps with my tendinitis,Five Stars,2018-04-05,0.4924600124359131,0.03787999972701073,0.3928300142288208,0.04684999957680702,0.029980000108480453,0,0.0,0.7959,8,2,84.34,4565,1,0,0.0
5.0,,1,I've used these keyboards for years. They're amazing and well built.,Ergonomic and sturdy,2018-04-05,0.49132999777793884,0.037769999355077744,0.39427998661994934,0.046720001846551895,0.029899999499320984,0,0.0,0.7096,11,2,99.73,4565,1,0,0.0
5.0,,1,"I've been using these for years. Took a little time to get used to at first, but I can type much faster on this now than any other keyboard. It is a great deal more comfortable relative to the angles your arms, wrists and hands are at to the keyboard. I won't be without one!",Awesome product!,2018-03-30,0.4889099895954132,0.03700999915599823,0.39004001021385193,0.054740000516176224,0.02928999997675419,0,0.0,0.9158,55,4,91.31,4559,1,0,0.0
5.0,,1,"I like it a lot. Learning to type on it. However, after returning to a regular keyboard I struggle a little with the tighter layout of the regular keyboard.",Very Comfortable,2018-03-26,0.47749999165534973,0.037470001727342606,0.40902000665664673,0.04634999856352806,0.029659999534487724,0,0.0,0.0516,29,3,70.09,4555,1,0,0.0
5.0,,1,Used this same keyboard for many years and consider it the best keyboard for ergonomic use.  I have broad shoulders and can't use a regular keyboard.  I use the keyboard for at least 8 hours every workday and they usually last for about 5-7 yrs.  Also I like the fact that is has a wire (same as with my mouse) because my experience with battery run devices is that a leaky battery (which I always seem to have) will render the device useless before its time.,Consider this the best keyboard for ergonomic use,2018-03-23,0.47304999828338623,0.052299998700618744,0.39969000220298767,0.04571999981999397,0.029249999672174454,0,0.0,0.5994,86,1,1.11,4552,1,0,0.0
1.0,,1,Letters began to rub off the keys within 3 weeks. Returning,Low quality,2018-03-22,0.47367000579833984,0.03756000101566315,0.4125699996948242,0.046470001339912415,0.029729999601840973,0,0.0,0.0,11,1,68.77,4551,1,0,0.0
5.0,,1,"Second one I've purchased, one for home, one for office. I think this is the PERFECT keyboard.",World's most perfect keyboard!,2018-03-20,0.4868899881839752,0.03742999956011772,0.39976999163627625,0.046300001442432404,0.02961999922990799,0,0.0,0.6633,17,2,88.23,4549,1,0,0.0
3.0,,1,"It has come down in price but has been overpriced. I like it but it has not held up real well. Letters wearing off of the keys and some buttons do not want to register when typing, creating missing letters. I have since replaced it as I got tired of the errors by keys that would not register when tapped during normal typing.",I like it but it has not held up real well,2018-03-19,0.4775499999523163,0.04910000041127205,0.39851000905036926,0.04563000053167343,0.029200000688433647,0,0.0,-0.3363,63,4,80.82,4548,1,0,0.0
5.0,,1,"I love these, and have them on all 4 of my computers. My wife hates these and I have an alternate wireless flat keyboard for her to use when she uses one of the computers.

I'd recommend you try one of these in an ""Amazon showroom"" (lol, any big-box office store) before buying to see if you like it.

Pro tip: as with most keyboards, they work better and are also more ergonomically correct if you do NOT raise the little feet underneath. Those work AGAINST easy use, and are only so people who can't touch type and have to look at the letters on the keys. I only learned that about a year ago, this is info that should be common knowledge.","An aquired taste, but I dig it.",2018-03-18,0.46533000469207764,0.03638000041246414,0.4244900047779083,0.04500000178813934,0.028790000826120377,0,0.0,0.9153,123,4,65.59,4547,1,1,0.0
5.0,,1,takes getting used to.  But is very good,Five Stars,2018-03-16,0.48860999941825867,0.03771999850869179,0.3971500098705292,0.04665999859571457,0.02985999919474125,0,0.0,0.6474,8,1,88.74,4545,1,0,0.0
5.0,,1,Its been so helpful and I love the features.,Five Stars,2018-03-13,0.4943099915981293,0.03773999959230423,0.3914099931716919,0.04667999967932701,0.02986999973654747,74,0.0,0.8434,9,1,96.18,4542,1,0,0.0
4.0,,1,"This is my favorite keyboard. Very comfortable to use. But, I probably would not buy another. I have owned three or four of these keyboards, and in all cases, certain letters have tended to rub off the tops of the keys. This happens after only a few months of use. I'm a pretty good touch typist, so it's not a huge problem, but I find it very annoying that Microsoft has not issued a revised version to take care of the problem that so many people have complained about. Otherwise, it's a great keyboard. Fix this, Microsoft, and I'll be a loyal 4000 series keyboard customer forever.",This is my favorite keyboard. Very comfortable to use,2018-03-08,0.4783500134944916,0.041430000215768814,0.3982900083065033,0.0473800003528595,0.03455999866127968,0,0.0,0.9835,107,8,74.79,4537,1,0,0.0
5.0,,1,"I have used this same keyboard at work for several years and really like it.  I type quite a bit for my job and I found this keyboard in a used electronic bin at work.  I pulled it out and after about a week of getting used to having the defined split between my two hands (apparently I had a couple of bad typing habits that needed to be corrected) it has been great.  That keyboard died when I spilled some water on it (not the first time) and some of the keys quit working.  Our office manager ordered me a new one and it has been flawless.
I liked it so much that it recently came time to replace our wireless keyboard at home (Logitech Wave) because we lost the dongle and it was too old to buy a replacement dongle.  I had wanted wireless again but there seemed to be a lot of connectivity issues with the ergonomic keyboards I was reviewing.  I knew this MS keyboard was solid given the years I've used it at work, so I bought one for my home office.  My wife loves it (she doesn't usually care about any techy purchases) and I'm pleased to have the same quality and comfort at home that I've enjoyed at work for so many years.  I do wish it was wireless but now I don't have to worry about connectivity or battery issues so I'm satisfied.",Excellent quality (been using it for years at work) and comfort,2018-03-07,0.46623000502586365,0.0357699990272522,0.4235999882221222,0.04608999937772751,0.028310000896453857,0,0.0,0.982,241,2,-25.46,4536,1,1,0.0
2.0,,1,"Returned, couldn't get used to the shape.","Good for some, not for all.",2018-03-06,0.4812299907207489,0.03773000091314316,0.4045099914073944,0.04667000100016594,0.02985999919474125,0,0.0,0.0,7,1,89.75,4535,1,0,0.0
5.0,,1,love my split keyboard...!  i have this kind for several yrs and wouldnt use anything else..,Five Stars,2018-03-05,0.47920000553131104,0.0377499982714653,0.4064599871635437,0.04670000076293945,0.02988000027835369,0,1.0,0.8588,16,1,72.16,4534,1,0,0.0
5.0,,0,"Hands down the best keyboard I've ever used!  I've spent hundreds of dollars on other keyboards (fully-detachable, mechanical, etc.), but this one, at only $35, easily beats them all.  The feel of the keyboard is truly natural.

Some things that I would have liked to have seen:
*additional 6 key on the right
* additional B key on the right
*no number pad
*programmable keys

Additionally, the space bar makes an incredible amount of noise.  It's like 10 times the loudness of the other keys.  The shortcuts don't work for me (I primarily use a Mac), and they don't really look all that helpful anyway (using the dedicated undo button on the top row of the keyboard vs. just using the ctrl/cmd + z motion).

Despite those shortcomings, this product is still leaps and bounds above the rest.",Surprisingly great keyboard!,2018-03-05,0.5055400133132935,0.03646999970078468,0.3840000033378601,0.0451200008392334,0.028869999572634697,0,1.0,0.984,136,1,-49.65,4534,1,0,0.0
5.0,,1,"Great keyboard, very comfortable, dependable and reliable. Excellent seller as well, fast Prime shipping, buy with confidence.",Five Stars,2018-03-03,0.47446000576019287,0.03740999847650528,0.3881100118160248,0.07040999829769135,0.029610000550746918,0,0.0,0.9501,17,2,45.93,4532,1,0,0.0
4.0,,1,"Works fine, but I like my ancient Microsoft keyboard better. My old one suddenly got reliable again, so I'm mostly using it. I hope the new one is as reliable--I broke a couple of keyboards from other makers before returning to Microsoft",Works fine. Hope it holds up,2018-03-02,0.4765999913215637,0.03733000159263611,0.3959699869155884,0.06055000051856041,0.02954999916255474,0,0.0,0.8248,42,3,65.73,4531,1,1,0.0
4.0,,1,Easy. New product. No issues.,WYSIWYG,2018-03-01,0.4809400141239166,0.03771999850869179,0.4048199951648712,0.04665999859571457,0.02985999919474125,0,0.0,0.1779,5,1,83.32,4530,1,0,0.0
5.0,,1,"If you do a lot of coding, you should have this to protect your hands and wrist. There is an adjustment period. I wouldn't recommend for designers",Must have,2018-02-28,0.4955500066280365,0.037390001118183136,0.3912000060081482,0.04625999927520752,0.029600000008940697,0,0.0,0.1255,27,3,79.26,4529,1,0,0.0
3.0,,0,"Keyboard is comfortable to use, but keys have too much spring to type really fast. Wrist support works well.
6 key is on the left. As a touch typist I find this annoying. It should be on the right..
The N key is extra wide and has caused typos for me.
Still trying to figure out what some specialty keys do. Documentation is inadequate. Tsk, tsk, Microsoft.","Keyboard is comfortable to use, but keys have too much spring to type really fast.",2018-02-27,0.4779700040817261,0.03674999997019768,0.3937700092792511,0.06241999939084053,0.029090000316500664,0,0.0,0.0021,67,8,88.33,4528,1,1,0.0
5.0,,1,This keyboard is fantastic. Works great!,"Takes some time getting used to, but very much worth the change.",2018-02-26,0.48050999641418457,0.03784999996423721,0.39434000849723816,0.04681999981403351,0.04047999903559685,0,0.0,0.8398,6,1,73.85,4527,1,0,0.0
3.0,,1,"I'm not sure I like the backward tilt. I will probably get used to it, but for now, I don't really like it.",I'm not sure I like the backward tilt,2018-02-25,0.48631998896598816,0.037620000541210175,0.3997400104999542,0.046539999544620514,0.02978000044822693,0,0.0,-0.572,23,2,93.64,4526,1,0,0.0
5.0,,1,This is the type of keyboard that my husband uses and he just loves this one,Five Stars,2018-02-22,0.4824199974536896,0.037790000438690186,0.4031200110912323,0.04675000160932541,0.029910000041127205,0,0.0,0.5719,16,1,89.08,4523,1,1,0.0
5.0,,1,love this keyboard.  ordered a second one for my home.  used it now for a few years,Love this keyboard ordered a second one for my home,2018-02-22,0.48627999424934387,0.03754999861121178,0.40000998973846436,0.04645000025629997,0.0297200009226799,0,0.0,0.6369,17,1,79.6,4523,1,0,0.0
1.0,,0,"threw out the 3rd one in 2 years. keys rub off in months and the things lock up and die.
JUNK",JUNK,2018-02-21,0.4770199954509735,0.03751999884843826,0.40935999155044556,0.04641000181436539,0.029689999297261238,0,0.0,-0.5994,21,1,100.92,4522,1,0,0.0
3.0,,1,"Love it, but how come the keyboard is short life?  I love this keyboard but this is my 3rd one.  Somehow, it only lives for 1 to 2 years and die.  So I am sure I will be buying this again at the end of this year.",short-lived,2018-02-20,0.49494001269340515,0.037289999425411224,0.39212000370025635,0.04613000154495239,0.029519999399781227,0,0.0,0.7519,47,1,57.61,4521,1,0,0.0
5.0,,1,"I hope they never get rid of keyboards like these.
Originally I was having to buy these new for 80 bucks. Love the price drop after all these years. Been using this type and brand of keyboard for the past decade. My wrists love this set-up and I refuse to go back to the standard flat keyboard. Please never get rid of the wired version of this.","Good price, Great product.",2018-02-17,0.4784899950027466,0.05079999938607216,0.3925600051879883,0.048980001360177994,0.029179999604821205,74,0.0,0.9153,67,6,93.95,4518,1,0,0.0
5.0,,1,"Best keyboard on the market.  My arms never tire.  Has five buttons for stored bookmarks, a zoom button for old age and many quick step buttons",Best keyboard available,2018-02-16,0.4707399904727936,0.03731999918818474,0.4126099944114685,0.049800001084804535,0.029529999941587448,0,0.0,0.6369,26,1,70.47,4517,1,0,0.0
5.0,,1,my favorite keyboard,Five Stars,2018-02-15,0.4788399934768677,0.038040000945329666,0.4059700071811676,0.04704999923706055,0.03009999915957451,0,0.0,0.4588,3,1,59.97,4516,1,0,0.0
2.0,,1,"For such a luxurious looking and feeling keyboard, I could not have been more disappointed,.  I could not get used to the large split in the middle, dividing the keys.  To me, the split looks much bigger in person, than it does in the photo.  My hands simply would not conform to this new position - extremely awkward.  The quality of the keyboard is gorgeous and I was disappointed to have to return it.  I just don't see how this is considered 'ergonomic'..... since when do we want to turn our hands inwards while typing?",Not for me --,2018-02-14,0.4771000146865845,0.03953000158071518,0.39816001057624817,0.04546000063419342,0.03974999859929085,0,0.0,0.204,94,1,-7.02,4515,1,0,0.0
