,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
376368,5.0,,True,"05 2, 2018",AL2K9U4ALBKQP,B000A6PPOK,{'Style:': ' Business'},J. Giles,"Absolutely love this keyboard.  I had an older one and the letters were worn off.  Didn't bother me, but my wife was very pleased when she saw that it had the letters still on the keys.  This keyboard feels great and is just designed so well.",Love this keyboard. Well worth the money.,1525219200,
376369,5.0,,True,"05 2, 2018",A32M6LOZTPGE1M,B000A6PPOK,{'Style:': ' Business'},Mickey,"I hate to say I love it because I got it for work, but...it works very well and makes being in front of a computer working all day better because it works so well. Once I got the programing figured out I realized how much more this can do than my other keyboards and it made it even better.","Every comfortable, especially if you're a bigger person. Ergonomics are great and personalized programing features are a great!",1525219200,
376370,5.0,,True,"04 29, 2018",A1EEAS6LJRO09M,B000A6PPOK,{'Style:': ' Retail'},Casadiego gerardo JOSE,Good,Five Stars,1524960000,
376371,5.0,,True,"04 29, 2018",A13E02949QW5MQ,B000A6PPOK,{'Style:': ' Business'},Demi,PERFECT Ergonomic Keyboard hella expensive but worth it! This is my 3rd one...first 2 shorted out after I spilled beverage on them. MICROSOFT PLEASE MAKE THESE WATER-PROOF. I suggest buying the SUCKY keyboard cover (see my review on it),PERFECT Ergonomic Keyboard hella expensive but worth it,1524960000,
376372,4.0,,True,"04 28, 2018",A33BNMY2NJJDDH,B000A6PPOK,{'Style:': ' Business'},IrishSa,I am hoping this will put less strain on my wrists. It is very comfortable so far. However this is quite high and if you have a desk with a keyboard drawer you are going to want to check the clearance because this may not fit under your desk.,"Comfortable, but takes a bit of getting used to.",1524873600,
376373,5.0,,True,"04 27, 2018",A19QIHUJXJ2HEU,B000A6PPOK,{'Style:': ' Business'},Kevin,I've bought three of these now. Two different jobs and one for my personal use.,Comfortable keyboard.,1524787200,
376374,5.0,,True,"04 26, 2018",A1ZO50S1M212IC,B000A6PPOK,{'Style:': ' Business'},Jason P,Work as expected.,Work as expected.,1524700800,
376375,5.0,,True,"04 24, 2018",A2GZAJ6KYMGVJT,B000A6PPOK,{'Style:': ' Business'},M.E. WHISTLE71,5 STARS TO THE SELLER AND 5 STARS FOR THE KEYBOARD.  LOVE IT!,LOVE IT!,1524528000,
376376,5.0,,True,"04 23, 2018",A1NEXFEKC127WX,B000A6PPOK,{'Style:': ' Business'},darteinak,Delivered as promised. Great product!,Great product!,1524441600,
376377,5.0,,True,"04 22, 2018",A5FVZO92W8TTY,B000A6PPOK,{'Style:': ' Business'},Rex Garcia,great product I bought these as a present and they love it..  Thank you..,Five Stars,1524355200,
376378,5.0,,True,"04 21, 2018",A39EN5XP8LDVX8,B000A6PPOK,{'Style:': ' Business'},Mike M,"Classic keyboard that takes some getting used to if you're not a traditionally ""perfect"" typer, but it helps you not develop ya know, arthritis or carpal tunnel.",Great keyboard for people who type all day...,1524268800,
376379,5.0,,True,"04 19, 2018",A20VUWZDXNHGM4,B000A6PPOK,{'Style:': ' Business'},gwoodle,"This keyboard is totally worth the price, it took me a few days to get use to the key arrangement, no big adjustment. I did take the time to set up my most important apps. to open with a push of one key. There are many handy features that I haven't had time to learn, but it will be handy to have.",Very nice and very good price.,1524096000,
376380,2.0,,True,"04 18, 2018",A1J3O2JJGJZ05X,B000A6PPOK,{'Style:': ' Business'},DPENN,"No idea why, but this spacebar keeps sticking. Had to swap this out twice before I gave up and returned it.",Sticky spacebar.,1524009600,
376381,4.0,,True,"04 18, 2018",A2J9UGGMAB5MUY,B000A6PPOK,{'Style:': ' Business'},Bob Carleton,"Comfortable keyboard to use, and a nice layout.  I have a few small nitpicks :
1.  The space bar does not depress easily at first, but seems to have started to 'break in'.  At first I was often missing spaces when typing because the space bar basically felt stuck.
2.  There's only one Window key, on the left.  My previous keyboard had one on the right that I was used to using.  This is likely a common thing in modern keyboards.
3.  I wish the little zoom toggle could be reassigned to scroll.

But overall happy with the purchase.","Comfortable, with a few annoyances",1524009600,
376382,5.0,,True,"04 18, 2018",A1KGURCC0PNTTE,B000A6PPOK,{'Style:': ' Business'},Larry R. Howland,"Great item, prompt and great price. A++++++",Five Stars,1524009600,
376383,5.0,,True,"04 17, 2018",A2G0VKBNCQI78K,B000A6PPOK,{'Style:': ' Business'},Michelle,I have been using this keyboard for years... mine finally to go and just replaced it with the same one because I love it so much. :-),My favorite keyboard,1523923200,
376384,5.0,,True,"04 16, 2018",A3F035LU02SX25,B000A6PPOK,{'Style:': ' Business'},Amazon Customer,"Perfect, Thanks!",Five Stars,1523836800,
376385,2.0,,True,"04 14, 2018",A3O7UH5V08UO0C,B000A6PPOK,{'Style:': ' Business'},Roberto E. Severino,"Very overrated keyboard IMO. Keys are too mushy and I type much slower on this thing than anything else I've tried. I have small hands, so i was also getting repeat tendonitis and RSI from using this. You need pretty big hands and long fingers to really be able to get much out of using this to be perfectly honest. Other people I knew swear by this, but for the life of me, I just couldn't get used to using this in  the long term. Finally settled on a Logitech K740 instead.",Overrated and super mushy keys,1523664000,
376386,4.0,,True,"04 13, 2018",A38R6K4AGOC0Q3,B000A6PPOK,{'Style:': ' Business'},Bryce Conner,"I have mixed feelings about this keyboard.  The action is smooth and quiet, and my wrists have been better off.  However, it is kind of awkward that the '6' got put with the '5', instead of the '7'.

The positives include having the programmable buttons, volume control, and scrolling and zooming buttons.

I wouldn't rate the keyboard 5 stars, but I would replace it with the same model, or the next.",Some of the keys awkward to use for a touch-typer,1523577600,
376387,5.0,,True,"04 13, 2018",A3EFF6RH8WTRXO,B000A6PPOK,{'Style:': ' Business'},Joey D,"I personally love this keyboard. It is extremely well made and has quiet and very nice and responsive keys. The rest is soft and comfortable. It does take a bit of getting used to but when you get it, it's a fantastic keyboard.",Quiet and responsive keys,1523577600,
376390,5.0,,True,"04 6, 2018",AFMQ4HBT76F6V,B000A6PPOK,{'Style:': ' Business'},JP-MHQP,Perfect for someone that needs an ergonomic keyboard.  Have to get used to it.,Great ergonomic keyboard.,1522972800,
376391,5.0,,True,"04 5, 2018",ASX7ATHTXGKGF,B000A6PPOK,{'Style:': ' Business'},Terese,I love this keyboard! Helps with my tendinitis,Five Stars,1522886400,
376392,5.0,,True,"04 5, 2018",ATC5PAB29RTTP,B000A6PPOK,{'Style:': ' Business'},lampposteffect,I've used these keyboards for years. They're amazing and well built.,Ergonomic and sturdy,1522886400,
376403,5.0,,True,"03 30, 2018",A23USBSRHAFRB,B000A6PPOK,{'Style:': ' Business'},My$.02,"I've been using these for years. Took a little time to get used to at first, but I can type much faster on this now than any other keyboard. It is a great deal more comfortable relative to the angles your arms, wrists and hands are at to the keyboard. I won't be without one!",Awesome product!,1522368000,
376420,5.0,,True,"03 26, 2018",AQR6FI9TD1221,B000A6PPOK,{'Style:': ' Business'},Rumplestilskin,"I like it a lot. Learning to type on it. However, after returning to a regular keyboard I struggle a little with the tighter layout of the regular keyboard.",Very Comfortable,1522022400,
376421,5.0,,True,"03 23, 2018",A3MF5Y5EYYINR4,B000A6PPOK,{'Style:': ' Business'},Wolf,Used this same keyboard for many years and consider it the best keyboard for ergonomic use.  I have broad shoulders and can't use a regular keyboard.  I use the keyboard for at least 8 hours every workday and they usually last for about 5-7 yrs.  Also I like the fact that is has a wire (same as with my mouse) because my experience with battery run devices is that a leaky battery (which I always seem to have) will render the device useless before its time.,Consider this the best keyboard for ergonomic use,1521763200,
376422,1.0,,True,"03 22, 2018",A2E18AL83CJ8YS,B000A6PPOK,{'Style:': ' Business'},Rochelle Neighbors,Letters began to rub off the keys within 3 weeks. Returning,Low quality,1521676800,
376434,5.0,,True,"03 20, 2018",A3FEVAT7HE1Z89,B000A6PPOK,{'Style:': ' Business'},W. Butler,"Second one I've purchased, one for home, one for office. I think this is the PERFECT keyboard.",World's most perfect keyboard!,1521504000,
376435,3.0,,True,"03 19, 2018",A155CYKNJYOKMU,B000A6PPOK,{'Style:': ' Business'},C W.,"It has come down in price but has been overpriced. I like it but it has not held up real well. Letters wearing off of the keys and some buttons do not want to register when typing, creating missing letters. I have since replaced it as I got tired of the errors by keys that would not register when tapped during normal typing.",I like it but it has not held up real well,1521417600,
376445,5.0,,True,"03 18, 2018",A105II2H7XGRTY,B000A6PPOK,{'Style:': ' Retail'},Master of Cats,"I love these, and have them on all 4 of my computers. My wife hates these and I have an alternate wireless flat keyboard for her to use when she uses one of the computers.

I'd recommend you try one of these in an ""Amazon showroom"" (lol, any big-box office store) before buying to see if you like it.

Pro tip: as with most keyboards, they work better and are also more ergonomically correct if you do NOT raise the little feet underneath. Those work AGAINST easy use, and are only so people who can't touch type and have to look at the letters on the keys. I only learned that about a year ago, this is info that should be common knowledge.","An aquired taste, but I dig it.",1521331200,
376446,5.0,,True,"03 16, 2018",A24TEOVLI7CHWH,B000A6PPOK,{'Style:': ' Business'},Carol O&#039;connor,takes getting used to.  But is very good,Five Stars,1521158400,
376449,5.0,,True,"03 13, 2018",A3RHFGBRLNKU99,B000A6PPOK,{'Style:': ' Business'},JasMarie,Its been so helpful and I love the features.,Five Stars,1520899200,['https://images-na.ssl-images-amazon.com/images/I/61IFGR4GK4L._SY88.jpg']
376450,4.0,,True,"03 8, 2018",A3L1L1QYLCU92U,B000A6PPOK,{'Style:': ' Business'},DD,"This is my favorite keyboard. Very comfortable to use. But, I probably would not buy another. I have owned three or four of these keyboards, and in all cases, certain letters have tended to rub off the tops of the keys. This happens after only a few months of use. I'm a pretty good touch typist, so it's not a huge problem, but I find it very annoying that Microsoft has not issued a revised version to take care of the problem that so many people have complained about. Otherwise, it's a great keyboard. Fix this, Microsoft, and I'll be a loyal 4000 series keyboard customer forever.",This is my favorite keyboard. Very comfortable to use,1520467200,
376451,5.0,,True,"03 7, 2018",A3TJBPG9HKZ98F,B000A6PPOK,{'Style:': ' Retail'},Jeffrey Pacetti,"I have used this same keyboard at work for several years and really like it.  I type quite a bit for my job and I found this keyboard in a used electronic bin at work.  I pulled it out and after about a week of getting used to having the defined split between my two hands (apparently I had a couple of bad typing habits that needed to be corrected) it has been great.  That keyboard died when I spilled some water on it (not the first time) and some of the keys quit working.  Our office manager ordered me a new one and it has been flawless.
I liked it so much that it recently came time to replace our wireless keyboard at home (Logitech Wave) because we lost the dongle and it was too old to buy a replacement dongle.  I had wanted wireless again but there seemed to be a lot of connectivity issues with the ergonomic keyboards I was reviewing.  I knew this MS keyboard was solid given the years I've used it at work, so I bought one for my home office.  My wife loves it (she doesn't usually care about any techy purchases) and I'm pleased to have the same quality and comfort at home that I've enjoyed at work for so many years.  I do wish it was wireless but now I don't have to worry about connectivity or battery issues so I'm satisfied.",Excellent quality (been using it for years at work) and comfort,1520380800,
376452,2.0,,True,"03 6, 2018",A33GFFLBTU1Q9H,B000A6PPOK,{'Style:': ' Business'},Garry Tonnesen,"Returned, couldn't get used to the shape.","Good for some, not for all.",1520294400,
376453,5.0,,True,"03 5, 2018",A1WGKIQGKSPHJE,B000A6PPOK,{'Style:': ' Business'},Christine C. Vanderburg,love my split keyboard...!  i have this kind for several yrs and wouldnt use anything else..,Five Stars,1520208000,
376454,5.0,,False,"03 5, 2018",A2O6538RIQVYT,B000A6PPOK,{'Style:': ' Business'},Matt S. K.,"Hands down the best keyboard I've ever used!  I've spent hundreds of dollars on other keyboards (fully-detachable, mechanical, etc.), but this one, at only $35, easily beats them all.  The feel of the keyboard is truly natural.

Some things that I would have liked to have seen:
*additional 6 key on the right
* additional B key on the right
*no number pad
*programmable keys

Additionally, the space bar makes an incredible amount of noise.  It's like 10 times the loudness of the other keys.  The shortcuts don't work for me (I primarily use a Mac), and they don't really look all that helpful anyway (using the dedicated undo button on the top row of the keyboard vs. just using the ctrl/cmd + z motion).

Despite those shortcomings, this product is still leaps and bounds above the rest.",Surprisingly great keyboard!,1520208000,
376455,5.0,,True,"03 3, 2018",A3O181HUA6725U,B000A6PPOK,{'Style:': ' Business'},David D.,"Great keyboard, very comfortable, dependable and reliable. Excellent seller as well, fast Prime shipping, buy with confidence.",Five Stars,1520035200,
376456,4.0,,True,"03 2, 2018",AU8O32XNE5UM5,B000A6PPOK,{'Style:': ' Retail'},Ted Ichino,"Works fine, but I like my ancient Microsoft keyboard better. My old one suddenly got reliable again, so I'm mostly using it. I hope the new one is as reliable--I broke a couple of keyboards from other makers before returning to Microsoft",Works fine. Hope it holds up,1519948800,
376457,4.0,,True,"03 1, 2018",A2TS1DKEGYYFMY,B000A6PPOK,{'Style:': ' Business'},Guadalupe F.,Easy. New product. No issues.,WYSIWYG,1519862400,
376458,5.0,,True,"02 28, 2018",A1FWCRS6IP77DK,B000A6PPOK,{'Style:': ' Business'},Amazon Customer,"If you do a lot of coding, you should have this to protect your hands and wrist. There is an adjustment period. I wouldn't recommend for designers",Must have,1519776000,
376459,3.0,,False,"02 27, 2018",A154YGTDAQK2LA,B000A6PPOK,{'Style:': ' Retail'},TheMatrix,"Keyboard is comfortable to use, but keys have too much spring to type really fast. Wrist support works well.
6 key is on the left. As a touch typist I find this annoying. It should be on the right..
The N key is extra wide and has caused typos for me.
Still trying to figure out what some specialty keys do. Documentation is inadequate. Tsk, tsk, Microsoft.","Keyboard is comfortable to use, but keys have too much spring to type really fast.",1519689600,
376460,5.0,,True,"02 26, 2018",A2Y9H64HHR7I0Z,B000A6PPOK,{'Style:': ' Business'},Michael Taggart,This keyboard is fantastic. Works great!,"Takes some time getting used to, but very much worth the change.",1519603200,
376461,3.0,,True,"02 25, 2018",AG7ADU7NEWD4K,B000A6PPOK,{'Style:': ' Business'},rjohn,"I'm not sure I like the backward tilt. I will probably get used to it, but for now, I don't really like it.",I'm not sure I like the backward tilt,1519516800,
376462,5.0,,True,"02 22, 2018",A2MGZBO4CETSNM,B000A6PPOK,{'Style:': ' Retail'},djsorceress,This is the type of keyboard that my husband uses and he just loves this one,Five Stars,1519257600,
376463,5.0,,True,"02 22, 2018",A2I3PKQ96Y07KC,B000A6PPOK,{'Style:': ' Business'},CathyU,love this keyboard.  ordered a second one for my home.  used it now for a few years,Love this keyboard ordered a second one for my home,1519257600,
376464,1.0,,False,"02 21, 2018",A2R2KH4TPA2UCO,B000A6PPOK,{'Style:': ' Business'},Minnesota,"threw out the 3rd one in 2 years. keys rub off in months and the things lock up and die.
JUNK",JUNK,1519171200,
376465,3.0,,True,"02 20, 2018",A3911KPMPOQWA7,B000A6PPOK,{'Style:': ' Business'},Ojou-Chan,"Love it, but how come the keyboard is short life?  I love this keyboard but this is my 3rd one.  Somehow, it only lives for 1 to 2 years and die.  So I am sure I will be buying this again at the end of this year.",short-lived,1519084800,
376466,5.0,,True,"02 17, 2018",A1WDH8O30ZC16S,B000A6PPOK,{'Style:': ' Business'},Atomic Kitty,"I hope they never get rid of keyboards like these.
Originally I was having to buy these new for 80 bucks. Love the price drop after all these years. Been using this type and brand of keyboard for the past decade. My wrists love this set-up and I refuse to go back to the standard flat keyboard. Please never get rid of the wired version of this.","Good price, Great product.",1518825600,['https://images-na.ssl-images-amazon.com/images/I/610iYIsv3VL._SY88.jpg']
376467,5.0,,True,"02 16, 2018",A1K7HG5NNTJWAS,B000A6PPOK,{'Style:': ' Business'},Feed Man,"Best keyboard on the market.  My arms never tire.  Has five buttons for stored bookmarks, a zoom button for old age and many quick step buttons",Best keyboard available,1518739200,
376468,5.0,,True,"02 15, 2018",AVCIO40FIQC3K,B000A6PPOK,{'Style:': ' Business'},StevO,my favorite keyboard,Five Stars,1518652800,
376469,2.0,,True,"02 14, 2018",ABXHM39YM2NT1,B000A6PPOK,{'Style:': ' Business'},Rhode Island Deals,"For such a luxurious looking and feeling keyboard, I could not have been more disappointed,.  I could not get used to the large split in the middle, dividing the keys.  To me, the split looks much bigger in person, than it does in the photo.  My hands simply would not conform to this new position - extremely awkward.  The quality of the keyboard is gorgeous and I was disappointed to have to return it.  I just don't see how this is considered 'ergonomic'..... since when do we want to turn our hands inwards while typing?",Not for me --,1518566400,
376470,5.0,,True,"02 13, 2018",A3SWVY0A9TDEFO,B000A6PPOK,{'Style:': ' Business'},Monnie,"To save you some time, to the right of the F keys is an ""F lock"" key.  Just Press it :-)  Then your F keys will work as expected.  The keyboard is very comfortable to use.",Comfortable,1518480000,
376471,5.0,,True,"02 10, 2018",ABP2091BVTF9A,B000A6PPOK,{'Style:': ' Business'},David Fowler,"I have been using these keyboards for years, the only keyboard I ever plan to buy for as long as it's available.  They do wear out and can get dirty, as would any keyboard.  Just in case, I've bought several spares as I'm so accustomed to the keyboard I can barely work on regular one now.

The key thing about this keyboard is that when you use it your arms don't have to be perpendicular.  The posture keeps your wrist straight, greatly reducing strain.

If you work on your keyboard for hours on end, like a typical programmer or heavy computer users, you should get this keyboard.",The Keyboard for programmers or heavy computer users.,1518220800,
376472,5.0,,True,"02 10, 2018",A1W26JOC9OEY0M,B000A6PPOK,{'Style:': ' Business'},Donald Moore,i have large hands and do autocad work all day long so yeah... this is the only way for me to go,i have large hands and do autocad work all day ...,1518220800,
376473,3.0,,False,"02 8, 2018",AYU404OSVUXQ2,B000A6PPOK,{'Style:': ' Business'},Jen,"I purchased this for doing transcription work.  Two days into using it, the b key is sticking. Now I'm scared to press it. i have to rearrange whole sentences just to avoid that letter. Thanks Microsoft _ut I refuse to live in fear.  I want my money _ack.",Give me a _reak,1518048000,
376474,4.0,,True,"02 5, 2018",AS8C336DDLSO4,B000A6PPOK,{'Style:': ' Business'},Ben A,"I have used traditional keyboards for pretty much my entire life of using computers. I didn't think i needed anything more ergonomic until my wrists started hurting and my posture started to 'collapse'. Nothing major, I haven't seen a physical therapist or anything, but I figured I needed to make a change. I remember one of my friends has gone through quite a few of these keyboards so I figured why not. I also didn't want to spend a lot.

So here I am typing on it right now after a week of getting used to it. I have to say that i generally find the key action to be a bit muddy. I have a mechanical keyboard and I also type on a lenovo laptop, so these feel mushy by comparison. They work fine though, and the sound is not as clicky, which I appreciate since I think I could do with less audio stimulation at work.

I have it connected to a KVM so I switche between a mac and pc which works fine for my needs. The volume control buttons work on both mac and windows which was a pleasant surprise.

My favorite feature is actually the palm rest. My hands sit pretty naturally there and i can type without feeling fatigued or any of the stress I had grown accustomed to  on my regular keyboards. I know my chair and desk aren't the best, but those things are not as easy to acquire as this keyboard. Because of the shape of the keyboard I can sit up straighter, longer. I feel better actually using my computer(s) and that's a tremendous benefit. If there was an equally affordable keyboard with better key action, that might win the day, but I'm pretty satisfied with this.",I have used traditional keyboards for pretty much my entire life of using computers,1517788800,
